Priority,Phase,Category,Item,Department,Source,Status,Notes
26,Pre-launch,Pages,Compliance & MHRA page (licence numbers / GDP / complaint reporting),Compliance,Internal,Not started,Required regulatory signal.
27,Pre-launch,Pages,Modern Slavery Statement,Compliance,Internal,Not started,Required for UK businesses above the threshold.
28,Pre-launch,Pages,Acceptable Use Policy,Compliance,Internal,Not started,Limits on who can register.
29,Pre-launch,Trade,Net-30 / credit-terms application copy (eligibility / form / approval email),"Sales + Finance",Internal,Not started,Enables trade payment flow.
30,Pre-launch,Trade,Account manager contact details (name / email / phone / WhatsApp / optional photo),Sales,Internal,Not started,Shown to verified clinics.
31,Pre-launch,Trade,Authenticity statement (80-word PDP strip),Compliance,Internal,Not started,Reused on every product page.
32,Pre-launch,Categories,Six category page intros (eyebrow + 1-2 sentence intro + optional hero image),Marketing,Internal,Not started,Currently the "edit" placeholder.
33,Pre-launch,Search,Search placeholder + 6-8 popular-search chips + no-results copy,Marketing,Internal,Not started,Small content but high-visibility.
34,Pre-launch,Search,Filter taxonomy (concern / treatment area / brand / pack size / price band) per category,"Sales + Procurement",Internal,Not started,Powers the PDP filtering.
35,Pre-launch,Emails,8 transactional email templates (verification / welcome / approval / order / dispatch / backorder / forgot-pw / newsletter) — subject + body,"Marketing + Customer Care",Internal,Not started,Plain-text body + merge variables.
36,Pre-launch,Account,Account dashboard tab labels + sign-in gate copy + preferences toggle labels,Marketing,Internal,Not started,All CMS-editable.
37,Pre-launch,Checkout,Checkout perks (3 lines) + place-order fineprint + payment method confirmation,"Marketing + Compliance",Internal,Not started,Goes into CMS > Pages > Checkout.
38,Pre-launch,Promotions,Promo codes table (code / discount % / start-end / eligibility),Sales,Internal,Not started,Replace the 3 demo codes.
39,Pre-launch,Order confirmation,Confirmation page + email copy (title / subtitle / button labels / ETA wording),Marketing,Internal,Not started,Goes into CMS > Pages > Order confirmation.
40,Post-launch,Products,Remainder of catalogue (SKUs 21 to ~84) — same fields as Priority 1,Procurement,From manufacturer data sheets,Not started,Roll out by category once flow is proven on the first 20.
41,Post-launch,Products,Remainder of product imagery,Marketing,Manufacturer pack shots + in-house,Not started,Same standard as Priority 2.
42,Post-launch,Pages,Press page + downloadable brand assets,Marketing,Internal,Not started,Not critical at launch.
43,Post-launch,Pages,CPD & training calendar (date / brand / topic / host / location / registration link),"Procurement + Sales",From manufacturer training programmes,Not started,Updates monthly.
44,Post-launch,Pages,Track Order page copy + lookup workflow,Operations,Internal,Not started,Needs dev work plus content.
45,Post-launch,Trade,IFU library landing page (filter by brand / category),Procurement,Internal aggregation of per-SKU IFUs,Not started,Aggregates all per-product IFUs.
46,Post-launch,Trade,Recall log page,Compliance,Internal,Not started,Required as soon as the first recall occurs.
47,Post-launch,SEO,Meta title + meta description per page (≤60 / ≤160 chars),Marketing,Internal,Not started,Per-page CMS field.
48,Post-launch,SEO,Product meta + Open Graph image override,Marketing,Internal,Not started,Per-SKU.
49,Post-launch,Reviews,Clinician review collection workflow + first 20 seeded reviews,"Customer Care + Sales",Outreach to early clinic customers,Not started,Big trust lift if seeded properly.
50,Post-launch,Reviews,Backend for reviews (display on PDP),Digital,Dev work,Not started,Needs schema + moderation flow added to CMS.
